Date,Open,High,Low,Close,Volume
2024-01-02,101.58,101.63,101.26,101.53,1154778
2024-01-03,102.71,102.94,102.26,102.87,659358
2024-01-04,103.24,103.57,102.73,102.97,902057
2024-01-05,101.97,102.35,101.37,101.96,788290
2024-01-08,101.16,101.64,100.87,101.17,790918
2024-01-09,102.21,103.18,101.82,102.34,1178338
2024-01-10,105.04,105.92,104.51,104.73,1059994
2024-01-11,104.81,105.26,104.71,105.08,1075921
2024-01-12,105.93,106.52,105.34,105.73,1134396
2024-01-15,106.01,106.10,105.69,106.04,894510
2024-01-16,106.56,106.60,106.21,106.56,677534
2024-01-17,106.16,106.91,105.75,106.42,1038730
2024-01-18,104.29,104.66,104.09,104.41,1149603
2024-01-19,105.55,105.90,105.19,105.80,759461
2024-01-22,106.53,106.63,106.15,106.56,1024430
2024-01-23,106.29,107.40,106.19,106.76,934235
2024-01-24,104.45,105.34,103.93,104.65,1164623
2024-01-25,103.51,103.71,102.76,103.38,877998
2024-01-26,101.81,102.26,101.36,101.78,1037643
2024-01-29,102.29,102.77,101.29,102.00,753305
2024-01-30,102.21,102.71,101.50,101.99,869487
2024-01-31,100.83,101.49,100.40,100.75,1262537
2024-02-01,100.62,100.65,100.43,100.61,789776
2024-02-02,100.15,100.69,100.04,100.54,985282
2024-02-05,100.12,100.48,99.93,100.20,755470
2024-02-06,98.21,98.36,98.08,98.35,1053050
2024-02-07,98.48,99.44,97.91,98.59,1043485
2024-02-08,97.48,97.73,96.43,97.54,1270216
2024-02-09,96.15,96.61,95.82,95.97,737885
2024-02-12,95.63,95.93,95.34,95.49,1371572
2024-02-13,94.79,95.13,94.55,94.75,1164453
2024-02-14,93.60,93.88,93.10,93.50,423182
2024-02-15,90.89,90.97,90.77,90.95,720310
2024-02-16,90.09,90.56,89.98,90.00,722865
2024-02-19,91.89,91.99,91.66,91.88,1104863
2024-02-20,91.58,91.79,91.12,91.70,1104176
2024-02-21,92.07,92.28,91.72,91.92,607618
2024-02-22,91.97,92.23,91.59,91.86,992348
2024-02-23,92.75,93.18,92.70,92.82,1081050
2024-02-26,92.70,93.26,92.62,92.96,915628
2024-02-27,94.87,95.94,94.64,94.64,1252179
2024-02-28,93.80,94.29,93.60,94.02,777325
2024-02-29,93.29,94.05,93.25,93.53,822086
2024-03-01,93.74,93.98,93.10,93.61,1208943
2024-03-04,93.59,94.35,93.45,93.56,1008660
2024-03-05,95.09,95.51,94.88,94.94,819230
2024-03-06,95.27,95.46,94.79,95.27,1263926
2024-03-07,97.63,98.15,97.42,97.42,410500
2024-03-08,100.86,101.09,100.23,100.39,805160
2024-03-11,100.99,101.19,100.82,100.93,530084
2024-03-12,100.15,100.24,99.86,100.09,1121993
2024-03-13,100.60,100.95,100.55,100.56,1258052
2024-03-14,101.48,101.96,100.71,101.34,1014008
2024-03-15,100.23,100.32,99.99,100.16,1024215
2024-03-18,100.34,100.51,100.03,100.37,794895
2024-03-19,103.22,103.58,102.06,102.67,1031782
2024-03-20,101.54,101.61,101.38,101.49,1619746
2024-03-21,103.04,103.26,102.24,103.10,662366
2024-03-22,102.64,102.80,102.32,102.57,1081702
2024-03-25,103.54,103.57,103.28,103.50,878738
2024-03-26,102.96,103.71,102.49,103.17,975751
2024-03-27,104.16,104.57,103.85,104.16,956701
2024-03-28,105.26,105.76,104.81,105.02,755432
2024-03-29,104.02,104.23,103.70,103.85,1206785
2024-04-01,103.52,103.96,103.28,103.84,1019076
2024-04-02,103.95,104.13,103.63,103.90,848021
2024-04-03,103.32,103.57,102.69,103.27,1137649
2024-04-04,105.21,105.30,105.04,105.18,1398004
2024-04-05,105.32,106.04,104.96,105.22,1273840
2024-04-08,105.14,106.01,104.08,104.88,1032034
2024-04-09,102.23,102.38,102.05,102.36,846178
2024-04-10,101.19,101.48,100.97,101.42,942737
2024-04-11,101.55,102.03,101.04,101.76,816042
2024-04-12,100.03,100.22,99.72,99.94,1332485
2024-04-15,100.38,101.20,99.93,100.66,743859
2024-04-16,101.73,102.08,101.72,101.96,479917
2024-04-17,103.04,103.07,102.39,102.92,1485052
2024-04-18,101.27,101.59,100.84,101.45,536260
2024-04-19,102.69,102.81,101.94,102.75,729600
2024-04-22,105.80,106.34,105.50,105.63,683960
2024-04-23,105.52,106.21,105.18,105.32,1443060
2024-04-24,106.77,106.98,106.38,106.66,1022891
2024-04-25,106.46,107.18,105.64,106.34,751187
2024-04-26,105.43,105.95,105.18,105.55,1068392
